material_id,formula,band_gap,is_gap_direct,energy_above_hull,formation_energy_per_atom,crystal_system,spacegroup_symbol,spacegroup_number,estrutura_esperada,regime_calc,density,efermi,theoretical,has_experimental_ref,possible_species,familia
mp-989516,Cs2ICl6F,1.126099999999999,True,0.0,-1.372084801931035,Cubic,Fm-3m,225,perovskita dupla,GGA,3.412775082845865,1.10919047,True,False,"['I5+', 'F-', 'Cs+', 'Cl-']",Perovskita Dupla
mp-1193745,CeAsO4F,1.495499999999999,True,0.0,-2.843470298214286,Orthorhombic,Pnma,62,perovskita dupla,GGA,4.643819334603983,1.08075612,False,True,"['F-', 'O2-', 'Ce4+', 'As5+']",Perovskita Dupla
mp-1079339,K2NaMnF6,1.5314,True,0.0,-2.983474632381034,Tetragonal,I4/mmm,139,perovskita dupla,GGA+U,2.972446846605264,-0.75197735,False,True,"['K+', 'Na+', 'F-', 'Mn3+']",Perovskita Dupla
mp-1205717,KRb2MnF6,1.704699999999999,False,0.0,-2.972165431018103,Tetragonal,I4/mmm,139,perovskita dupla,GGA+U,3.397790348606249,-1.06311945,True,True,"['K+', 'Rb+', 'F-', 'Mn3+']",Perovskita Dupla
mp-558050,Rb2NaMnF6,1.678599999999999,False,0.0,-2.985309472431034,Tetragonal,I4/mmm,139,perovskita dupla,GGA+U,3.748975577831617,-0.8452329900000001,False,True,"['Na+', 'Rb+', 'F-', 'Mn3+']",Perovskita Dupla
mp-560861,Cs2KMnF6,1.7435,False,0.0,-2.983461569449137,Tetragonal,I4/mmm,139,perovskita dupla,HSE06,4.013910600488281,-0.40957645,False,True,"['K+', 'Cs+', 'F-', 'Mn3+']",Perovskita Dupla
mp-1110602,Rb2AgRhF6,1.390499999999999,False,0.0,-2.264492504666665,Cubic,Fm-3m,225,perovskita dupla,GGA,4.758966161831451,0.13435921,True,False,"['Rh3+', 'F-', 'Rb+', 'Ag+']",Perovskita Dupla
mp-1111665,K2LiRhF6,1.7665000000000002,True,0.0,-2.6630542147833323,Cubic,Fm-3m,225,perovskita dupla,GGA,3.900989451475024,0.14166667,True,False,"['Rh3+', 'K+', 'Li+', 'F-']",Perovskita Dupla
mp-1111950,K2AgRhF6,1.4182,False,0.0,-2.246720276616666,Cubic,Fm-3m,225,perovskita dupla,GGA,3.988046326716506,0.0471862,True,False,"['Rh3+', 'K+', 'Ag+', 'F-']",Perovskita Dupla
mp-1113707,Rb2LiRhF6,1.7225,True,0.0,-2.645169458833333,Cubic,Fm-3m,225,perovskita dupla,GGA,4.435978206236426,0.12166667,True,False,"['Rh3+', 'F-', 'Rb+', 'Li+']",Perovskita Dupla
mp-14037,NaTl2RhF6,1.7848000000000002,False,0.0,-2.211141618804599,Cubic,Fm-3m,225,perovskita dupla,GGA,6.60542456792536,1.80230875,False,True,"['Rh3+', 'Na+', 'F-', 'Tl+']",Perovskita Dupla
mp-1225874,CsZnCoF6,1.6216,True,0.0,-2.51893058329502,Orthorhombic,Imma,74,perovskita dupla,GGA+U,4.212920528342598,-1.81734835,True,False,"['Co3+', 'F-', 'Zn2+', 'Cs+']",Perovskita Dupla
mp-1228915,CsCoNiF6,1.4981,False,0.0,-2.4228049332950192,Orthorhombic,Imma,74,perovskita dupla,GGA+U,4.27544614824969,-0.99621847,True,False,"['F-', 'Co3+', 'Cs+', 'Ni2+']",Perovskita Dupla
mp-1228863,CsMnCrF6,1.595799999999999,False,0.0,-3.080869609731801,Orthorhombic,Imma,74,perovskita dupla,GGA+U,3.775565104075753,0.310188099999999,True,False,"['Mn2+', 'F-', 'Cr3+', 'Cs+']",Perovskita Dupla
mp-1228982,CsMnFeF6,1.1137,True,0.0,-2.889407558065134,Orthorhombic,Imma,74,perovskita dupla,GGA+U,3.790419746171669,0.33652506,True,False,"['Mn2+', 'Fe3+', 'Cs+', 'F-']",Perovskita Dupla
mp-1212006,InNiAg2F7,1.4768,False,0.0,-2.109511752727272,Orthorhombic,Imma,74,perovskita dupla,GGA+U,5.292395254968391,0.48297318,True,True,"['F-', 'Ag+', 'In3+', 'Ni2+']",Perovskita Dupla
mp-1210483,Na2CoNiF7,1.4955,False,0.0,-2.521602485705329,Orthorhombic,Imma,74,perovskita dupla,GGA+U,3.491760763802576,-1.343040789999999,True,True,"['Na+', 'Co3+', 'F-', 'Ni2+']",Perovskita Dupla
mp-1213740,CrNiAg2F7,1.657399999999999,False,0.0,-2.192959935757575,Orthorhombic,Imma,74,perovskita dupla,GGA+U,5.029945735734276,0.36047255,True,True,"['F-', 'Cr3+', 'Ag+', 'Ni2+']",Perovskita Dupla
mp-1205991,LaBi2ClO4,1.3154,False,0.0,-2.427293029375001,Tetragonal,P4/mmm,123,perovskita dupla,GGA,7.338835382018139,4.08909277,True,True,"['Cl-', 'O2-', 'La3+', 'Bi3+']",Perovskita Dupla
mp-546082,TmBi2ClO4,1.4201,False,0.0,-2.481416511250001,Tetragonal,P4/mmm,123,perovskita dupla,GGA,8.44149754336076,3.6916917,False,True,"['Tm3+', 'O2-', 'Cl-', 'Bi3+']",Perovskita Dupla
mp-546152,SmBi2ClO4,1.217699999999999,False,0.0,-2.431803824375001,Tetragonal,P4/mmm,123,perovskita dupla,GGA,7.857310992273154,3.49372382,False,True,"['O2-', 'Sm3+', 'Cl-', 'Bi3+']",Perovskita Dupla
mp-545529,NdBi2ClO4,1.1973999999999991,False,0.0,-2.4068132021875,Tetragonal,P4/mmm,123,perovskita dupla,GGA,7.640609667500461,3.42129155,False,True,"['Nd3+', 'O2-', 'Cl-', 'Bi3+']",Perovskita Dupla
mp-550805,LuBi2ClO4,1.461799999999999,False,0.0,-2.481985219583334,Tetragonal,P4/mmm,123,perovskita dupla,GGA,8.57199460348832,3.78318927,False,True,"['O2-', 'Lu3+', 'Cl-', 'Bi3+']",Perovskita Dupla
mp-547125,TbBi2ClO4,1.3439,False,0.0,-2.462889460833334,Tetragonal,P4/mmm,123,perovskita dupla,HSE06,8.09559497399554,3.60102528,False,True,"['O2-', 'Cl-', 'Bi3+', 'Tb3+']",Perovskita Dupla
mp-549127,HoBi2ClO4,1.370999999999999,False,0.0,-2.470130923125,Tetragonal,P4/mmm,123,perovskita dupla,GGA,8.278940385967152,3.64886018,False,True,"['O2-', 'Ho3+', 'Cl-', 'Bi3+']",Perovskita Dupla
mp-549709,ErBi2ClO4,1.3769,False,0.0,-2.475584263749999,Tetragonal,P4/mmm,123,perovskita dupla,GGA,8.616169133742371,3.75316474,False,True,"['O2-', 'Er3+', 'Cl-', 'Bi3+']",Perovskita Dupla
mp-552604,YBi2ClO4,1.3088,False,0.0,-2.4487773725000013,Tetragonal,P4/mmm,123,perovskita dupla,GGA,7.314987307924014,3.75291283,False,True,"['O2-', 'Y3+', 'Cl-', 'Bi3+']",Perovskita Dupla
mp-552008,DyBi2ClO4,1.3739,False,0.0,-2.466786182708333,Tetragonal,P4/mmm,123,perovskita dupla,GGA,8.189800366409605,3.62287869,False,True,"['O2-', 'Cl-', 'Dy3+', 'Bi3+']",Perovskita Dupla
mp-553082,PrBi2ClO4,1.1244,False,0.0,-2.388985133958334,Tetragonal,P4/mmm,123,perovskita dupla,GGA,7.559526182273299,3.40412933,False,True,"['O2-', 'Cl-', 'Pr3+', 'Bi3+']",Perovskita Dupla
mp-1096926,Cs2InAgCl6,1.3421,True,0.0,-1.739095379764367,Cubic,Fm-3m,225,perovskita dupla,GGA,3.8229427688852953,0.49316851,True,False,"['Cl-', 'Ag+', 'Cs+', 'In3+']",Perovskita Dupla
mp-1110690,Rb2CuBiCl6,1.0756,False,0.0,-1.6369621595,Cubic,Fm-3m,225,perovskita dupla,GGA,3.757091201254247,1.974014299999999,True,False,"['Cu+', 'Rb+', 'Cl-', 'Bi3+']",Perovskita Dupla
mp-1110803,Rb2AgSbCl6,1.6275,False,0.0,-1.615785375666666,Cubic,Fm-3m,225,perovskita dupla,GGA,3.270080969133103,1.07258795,True,False,"['Rb+', 'Ag+', 'Cl-', 'Sb3+']",Perovskita Dupla
mp-1110871,K2CuBiCl6,1.161699999999999,False,0.0,-1.60153208845,Cubic,Fm-3m,225,perovskita dupla,GGA,3.264289768337317,1.86171801,True,False,"['K+', 'Cl-', 'Cu+', 'Bi3+']",Perovskita Dupla
mp-1111634,Rb2InAgCl6,1.293,True,0.0,-1.710742968333332,Cubic,Fm-3m,225,perovskita dupla,GGA,3.41450400350128,0.29840226,True,False,"['Cl-', 'Rb+', 'Ag+', 'In3+']",Perovskita Dupla
