material_id,formula,regime_calc,estrutura_esperada,is_pv_candidate,is_ibsc_candidate,is_pv_candidate_amp,is_ibsc_candidate_amp,energy_above_hull,is_stable,near_hull,is_gap_direct,ordering,band_gap,density,site_density,efermi,volume,nsites,MagpieData minimum Number,MagpieData maximum Number,MagpieData range Number,MagpieData mean Number,MagpieData avg_dev Number,MagpieData mode Number,MagpieData minimum MendeleevNumber,MagpieData maximum MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData mode MendeleevNumber,MagpieData minimum MeltingT,MagpieData maximum MeltingT,MagpieData mean MeltingT,MagpieData avg_dev MeltingT,MagpieData mode MeltingT,MagpieData minimum Column,MagpieData maximum Column,MagpieData mean Column,MagpieData avg_dev Column,MagpieData minimum Row,MagpieData maximum Row,MagpieData range Row,MagpieData avg_dev Row,MagpieData minimum CovalentRadius,MagpieData maximum CovalentRadius,MagpieData range CovalentRadius,MagpieData mean CovalentRadius,MagpieData avg_dev CovalentRadius,MagpieData mode CovalentRadius,MagpieData maximum Electronegativity,MagpieData range Electronegativity,MagpieData mean Electronegativity,MagpieData avg_dev Electronegativity,MagpieData mode Electronegativity,MagpieData minimum NsValence,MagpieData mean NsValence,MagpieData mode NsValence,MagpieData minimum NpValence,MagpieData range NpValence,MagpieData mean NpValence,MagpieData avg_dev NpValence,MagpieData minimum NdValence,MagpieData maximum NdValence,MagpieData mean NdValence,MagpieData avg_dev NdValence,MagpieData maximum NfValence,MagpieData mean NfValence,MagpieData minimum NValence,MagpieData maximum NValence,MagpieData range NValence,MagpieData mean NValence,MagpieData avg_dev NValence,MagpieData maximum NpUnfilled,MagpieData range NpUnfilled,MagpieData mean NpUnfilled,MagpieData avg_dev NpUnfilled,MagpieData mode NpUnfilled,MagpieData maximum NdUnfilled,MagpieData mean NdUnfilled,MagpieData maximum NfUnfilled,MagpieData minimum NUnfilled,MagpieData maximum NUnfilled,MagpieData range NUnfilled,MagpieData mean NUnfilled,MagpieData avg_dev NUnfilled,MagpieData minimum GSvolume_pa,MagpieData maximum GSvolume_pa,MagpieData mean GSvolume_pa,MagpieData avg_dev GSvolume_pa,MagpieData mode GSvolume_pa,MagpieData maximum GSbandgap,MagpieData mean GSbandgap,MagpieData avg_dev GSbandgap,MagpieData mode GSbandgap,MagpieData maximum GSmagmom,MagpieData minimum SpaceGroupNumber,MagpieData maximum SpaceGroupNumber,MagpieData range SpaceGroupNumber,MagpieData mean SpaceGroupNumber,MagpieData avg_dev SpaceGroupNumber,MagpieData mode SpaceGroupNumber,regime_GGA,regime_GGAU,regime_HSE06,gap_direto
mp-1215443,ZnGaPS,GGA,relacionada,True,False,True,True,0.02351833142857,False,True,True,NM,1.67,3.987296575491632,0.0484674146588276,2.83613617,82.52967541505649,4,15.0,31.0,16.0,23.0,7.5,15.0,69.0,88.0,78.5,69.0,302.91,692.68,425.3125,133.68374999999997,302.91,12.0,16.0,14.0,1.5,3.0,4.0,1.0,0.5,105.0,122.0,17.0,114.0,8.0,105.0,2.58,0.9300000000000002,2.0575,0.3275,1.65,2.0,2.0,2.0,0.0,4.0,2.0,1.5,0.0,10.0,5.0,5.0,0.0,0.0,5.0,13.0,8.0,9.0,3.5,5.0,5.0,2.5,1.5,0.0,0.0,0.0,0.0,0.0,5.0,5.0,2.5,1.5,13.96,25.786875,20.2936532738,3.884903273799999,13.96,2.202,0.95675,0.95675,0.0,0.0,2.0,194.0,192.0,82.5,55.75,2.0,1,0,0,1
mp-1217996,TaCu3Se3S,GGA,relacionada,True,False,True,True,0.0,True,True,False,NM,1.6491,5.846707643517421,0.0439756427343487,2.81235618,181.91888742427204,8,16.0,73.0,57.0,34.75,9.5625,29.0,48.0,89.0,74.375,64.0,388.36,3290.0,1154.20875,686.6187500000001,494.0,5.0,16.0,12.75,3.25,3.0,6.0,3.0,0.46875,105.0,170.0,65.0,128.875,12.625,120.0,2.58,1.08,2.17875,0.37875,1.9,1.0,1.625,1.0,0.0,4.0,2.0,2.0,0.0,10.0,7.875,3.1875,14.0,1.75,6.0,19.0,13.0,13.25,3.5,2.0,2.0,1.0,1.0,0.0,7.0,0.875,0.0,1.0,7.0,6.0,2.25,1.1875,11.07,25.92,19.359609375,6.527109375,11.07,2.202,0.574875,0.574875,0.0,0.0,14.0,229.0,215.0,127.0,99.0,14.0,1,0,0,0
mp-1226798,CdIn4As4S,GGA,relacionada,False,False,False,False,0.0103115375,False,True,True,NM,0.0099,5.15253818372345,0.034345947225809,3.43760443,291.15516699116034,10,16.0,49.0,33.0,39.2,9.6,33.0,70.0,88.0,79.4,75.0,388.36,1090.0,706.158,307.0736,429.75,12.0,16.0,14.0,1.2,3.0,5.0,2.0,0.6,105.0,144.0,39.0,129.3,13.1,119.0,2.58,0.8900000000000001,2.011,0.24900000000000005,1.78,2.0,2.0,2.0,0.0,4.0,2.0,1.2,0.0,10.0,9.0,1.8,0.0,0.0,6.0,15.0,9.0,13.0,1.6,5.0,5.0,3.4,1.28,3.0,0.0,0.0,0.0,0.0,5.0,5.0,3.4,1.28,19.495,25.786875,23.102187500000003,1.4631875,22.175,2.202,0.2202,0.39636,0.0,0.0,70.0,194.0,124.0,148.4,23.2,139.0,1,0,0,1
mp-1226842,CdGa4As4S,GGA,relacionada,False,False,False,False,0.009775825499999,False,True,True,NM,0.173799999999999,4.960340489259347,0.0413134456469252,2.650275869999999,242.0519480621983,10,16.0,48.0,32.0,32.0,4.0,31.0,70.0,88.0,79.0,74.0,302.91,1090.0,655.422,347.6624,302.91,12.0,16.0,14.0,1.2,3.0,5.0,2.0,0.2,105.0,144.0,39.0,121.3,5.1,119.0,2.58,0.8900000000000001,2.0229999999999997,0.23700000000000004,1.81,2.0,2.0,2.0,0.0,4.0,2.0,1.2,0.0,10.0,9.0,1.8,0.0,0.0,6.0,15.0,9.0,13.0,1.6,5.0,5.0,3.4,1.28,3.0,0.0,0.0,0.0,0.0,5.0,5.0,3.4,1.28,18.8575,25.786875,20.9411875,1.9561874999999993,18.8575,2.202,0.2202,0.39636,0.0,0.0,64.0,194.0,130.0,118.4,53.2,64.0,1,0,0,1
mp-561350,AlBiSCl4,GGA,kesterita,False,False,False,True,0.0,True,True,False,NM,2.8305,3.256818015369465,0.033498797392029,0.03447033,835.8509015210963,28,13.0,83.0,70.0,25.714285714285715,16.367346938775512,17.0,73.0,94.0,89.0,94.0,171.6,933.47,364.6614285714286,220.6416326530612,171.6,13.0,17.0,16.0,1.1428571428571428,3.0,6.0,3.0,0.7346938775510203,102.0,148.0,46.0,111.71428571428571,13.020408163265303,102.0,3.16,1.55,2.692857142857143,0.5338775510204082,3.16,2.0,2.0,2.0,1.0,4.0,4.0,1.1428571428571428,0.0,10.0,1.4285714285714286,2.4489795918367347,14.0,2.0,3.0,29.0,26.0,9.428571428571429,5.591836734693878,5.0,4.0,2.0,1.1428571428571428,1.0,0.0,0.0,0.0,1.0,5.0,4.0,2.0,1.1428571428571428,16.48,32.95,24.743839285714284,2.642627551020408,24.4975,2.493,1.739142857142857,0.9937959183673469,2.493,0.0,12.0,225.0,213.0,80.42857142857143,41.30612244897959,64.0,1,0,0,0
mp-866713,ReTeSCl4,GGA,kesterita,False,True,False,True,0.0,True,True,False,NM,2.3274,3.840004270089397,0.0331926664992693,0.630814,843.5598267049858,28,16.0,75.0,59.0,30.142857142857142,19.061224489795922,17.0,54.0,94.0,86.85714285714286,94.0,171.6,3459.0,750.9171428571427,773.7379591836734,171.6,7.0,17.0,15.285714285714286,2.3673469387755097,3.0,6.0,3.0,1.0204081632653061,102.0,151.0,49.0,114.57142857142857,17.10204081632653,102.0,3.16,1.2600000000000002,2.7457142857142856,0.4734693877551021,3.16,2.0,2.0,2.0,0.0,5.0,4.0,1.1428571428571428,0.0,10.0,2.142857142857143,3.0612244897959187,14.0,2.0,6.0,21.0,15.0,10.142857142857142,4.775510204081633,2.0,2.0,1.1428571428571428,0.4897959183673469,1.0,5.0,0.7142857142857143,0.0,1.0,5.0,4.0,1.8571428571428572,0.979591836734694,14.655,34.7633333333,24.742172619042858,3.161675170061225,24.4975,2.493,1.8054285714285714,0.8991020408163265,2.493,0.0,64.0,194.0,130.0,96.0,44.0,64.0,1,0,0,0
mp-1219554,RbLiZnS2,GGA,kesterita,False,True,False,True,0.0,True,True,True,NM,2.5255,3.30550831182563,0.0448444101361741,1.03850678,111.49661651958507,5,3.0,37.0,34.0,20.4,10.48,16.0,1.0,88.0,50.0,88.0,312.46,692.68,447.11,100.85999999999999,388.36,1.0,16.0,9.2,6.56,2.0,5.0,3.0,0.8800000000000001,105.0,220.0,115.0,136.0,33.6,105.0,2.58,1.7600000000000002,1.722,0.6864000000000001,2.58,1.0,1.6,2.0,0.0,4.0,1.6,1.9200000000000004,0.0,10.0,2.0,3.2,0.0,0.0,1.0,12.0,11.0,5.2,3.3599999999999994,2.0,2.0,0.8,0.9600000000000002,2.0,0.0,0.0,0.0,0.0,2.0,2.0,1.2,0.64,13.96,90.7225,34.56991666666,22.461033333336,25.786875,2.202,0.8808,1.0569600000000001,2.202,0.0,70.0,229.0,159.0,158.4,70.72,70.0,1,0,0,1
mp-1219557,RbMnCuS2,GGA,kesterita,False,False,False,False,0.0,True,True,False,FM,0.1549,4.049566798249158,0.0454843581155348,3.91967195,109.92790064882304,5,16.0,37.0,21.0,24.6,6.88,16.0,4.0,88.0,59.2,88.0,312.46,1519.0,793.1899999999999,516.156,388.36,1.0,16.0,10.2,4.96,3.0,5.0,2.0,0.64,105.0,220.0,115.0,140.2,31.919999999999995,105.0,2.58,1.7600000000000002,1.886,0.5608000000000001,2.58,1.0,1.6,2.0,0.0,4.0,1.6,1.9200000000000004,0.0,10.0,3.0,3.6,0.0,0.0,1.0,11.0,10.0,6.2,2.24,2.0,2.0,0.8,0.9600000000000002,2.0,5.0,1.0,0.0,1.0,5.0,4.0,2.2,1.12,10.4875862069,90.7225,32.77076724138,23.180693103448,25.786875,2.202,0.8808,1.0569600000000001,2.202,0.000310120689655,70.0,229.0,159.0,162.2,73.76,70.0,1,0,0,0
mp-1225887,CsLiZnS2,GGA,kesterita,False,True,False,True,0.0,True,True,True,NM,2.5019,3.752316748058588,0.0419417223189759,3.95145796,119.2130347431588,5,3.0,55.0,52.0,24.0,14.8,16.0,1.0,88.0,50.2,88.0,301.59,692.68,444.93600000000004,102.5992,388.36,1.0,16.0,9.2,6.56,2.0,6.0,4.0,1.12,105.0,244.0,139.0,140.8,41.28000000000001,105.0,2.58,1.79,1.716,0.6912,2.58,1.0,1.6,2.0,0.0,4.0,1.6,1.9200000000000004,0.0,10.0,2.0,3.2,0.0,0.0,1.0,12.0,11.0,5.2,3.3599999999999994,2.0,2.0,0.8,0.9600000000000002,2.0,0.0,0.0,0.0,0.0,2.0,2.0,1.2,0.64,13.96,115.765,39.578416666660004,30.474633333336005,25.786875,2.202,0.8808,1.0569600000000001,2.202,0.0,70.0,229.0,159.0,158.4,70.72,70.0,1,0,0,1
mp-1225894,CsLiMnS2,GGA,kesterita,False,False,True,False,0.0,True,True,False,FM,0.809299999999999,3.50941290450225,0.0408130459209843,3.5505405,122.50984672107538,5,3.0,55.0,52.0,23.0,13.6,16.0,1.0,88.0,46.8,88.0,301.59,1519.0,610.2,363.52000000000004,388.36,1.0,16.0,8.2,6.24,2.0,6.0,4.0,1.12,105.0,244.0,139.0,144.2,39.919999999999995,105.0,2.58,1.79,1.6960000000000002,0.7072,2.58,1.0,1.6,2.0,0.0,4.0,1.6,1.9200000000000004,0.0,5.0,1.0,1.6,0.0,0.0,1.0,7.0,6.0,4.2,2.5599999999999996,2.0,2.0,0.8,0.9600000000000002,2.0,5.0,1.0,0.0,1.0,5.0,4.0,2.2,1.12,10.4875862069,115.765,38.88393390804,30.752426436784003,25.786875,2.202,0.8808,1.0569600000000001,2.202,0.000310120689655,70.0,229.0,159.0,163.0,74.4,70.0,1,0,0,0
