material_id,formula,regime_calc,estrutura_esperada,is_pv_candidate,is_ibsc_candidate,is_pv_candidate_amp,is_ibsc_candidate_amp,energy_above_hull,is_stable,near_hull,is_gap_direct,ordering,band_gap,density,site_density,efermi,volume,nsites,MagpieData minimum Number,MagpieData maximum Number,MagpieData range Number,MagpieData mean Number,MagpieData avg_dev Number,MagpieData mode Number,MagpieData minimum MendeleevNumber,MagpieData maximum MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData avg_dev MendeleevNumber,MagpieData mode MendeleevNumber,MagpieData minimum MeltingT,MagpieData maximum MeltingT,MagpieData mean MeltingT,MagpieData avg_dev MeltingT,MagpieData mode MeltingT,MagpieData minimum Column,MagpieData maximum Column,MagpieData mean Column,MagpieData avg_dev Column,MagpieData mode Column,MagpieData minimum Row,MagpieData maximum Row,MagpieData range Row,MagpieData avg_dev Row,MagpieData maximum CovalentRadius,MagpieData range CovalentRadius,MagpieData mean CovalentRadius,MagpieData avg_dev CovalentRadius,MagpieData maximum Electronegativity,MagpieData range Electronegativity,MagpieData mean Electronegativity,MagpieData avg_dev Electronegativity,MagpieData mode Electronegativity,MagpieData minimum NsValence,MagpieData mean NsValence,MagpieData mode NsValence,MagpieData minimum NpValence,MagpieData mean NpValence,MagpieData avg_dev NpValence,MagpieData minimum NdValence,MagpieData maximum NdValence,MagpieData range NdValence,MagpieData mean NdValence,MagpieData avg_dev NdValence,MagpieData mode NdValence,MagpieData maximum NfValence,MagpieData mean NfValence,MagpieData mode NfValence,MagpieData minimum NValence,MagpieData maximum NValence,MagpieData mean NValence,MagpieData avg_dev NValence,MagpieData mode NValence,MagpieData maximum NsUnfilled,MagpieData mode NsUnfilled,MagpieData minimum NpUnfilled,MagpieData maximum NpUnfilled,MagpieData mean NpUnfilled,MagpieData avg_dev NpUnfilled,MagpieData mode NpUnfilled,MagpieData maximum NdUnfilled,MagpieData mean NdUnfilled,MagpieData maximum NfUnfilled,MagpieData mean NfUnfilled,MagpieData mode NfUnfilled,MagpieData minimum NUnfilled,MagpieData maximum NUnfilled,MagpieData mean NUnfilled,MagpieData avg_dev NUnfilled,MagpieData mode NUnfilled,MagpieData minimum GSvolume_pa,MagpieData maximum GSvolume_pa,MagpieData mean GSvolume_pa,MagpieData avg_dev GSvolume_pa,MagpieData minimum GSbandgap,MagpieData maximum GSbandgap,MagpieData mean GSbandgap,MagpieData avg_dev GSbandgap,MagpieData mode GSbandgap,MagpieData maximum GSmagmom,MagpieData mean GSmagmom,MagpieData minimum SpaceGroupNumber,MagpieData maximum SpaceGroupNumber,MagpieData range SpaceGroupNumber,MagpieData mean SpaceGroupNumber,MagpieData avg_dev SpaceGroupNumber,MagpieData mode SpaceGroupNumber,regime_GGA,regime_GGAU,regime_HSE06,gap_direto
mp-1272313,Li2NiO2F,GGA+U,relacionada,False,False,False,False,0.000844365555556,False,True,False,AFM,0.474899999999999,3.961181769600005,0.1158256454083707,2.6833365,207.2079971182748,24,3.0,28.0,25.0,9.833333333333334,6.055555555555556,3.0,1.0,93.0,55.0,36.0,1.0,53.5,1728.0,466.41333333333336,420.52888888888896,54.8,1.0,17.0,10.166666666666666,6.166666666666667,1.0,2.0,4.0,2.0,0.5555555555555557,128.0,71.0,94.83333333333333,31.833333333333332,3.98,3.0,2.455,1.165,0.98,1.0,1.6666666666666667,1.0,0.0,2.1666666666666665,2.166666666666667,0.0,8.0,8.0,1.3333333333333333,2.2222222222222223,0.0,0.0,0.0,0.0,1.0,10.0,5.166666666666667,2.777777777777778,1.0,1.0,0.0,0.0,2.0,0.8333333333333334,0.8333333333333334,0.0,2.0,0.3333333333333333,0.0,0.0,0.0,1.0,2.0,1.5,0.5,1.0,9.105,16.5933333333,11.904027777766666,3.1262037036888883,0.0,1.97,0.3283333333333333,0.5472222222222222,0.0,0.5953947,0.09923245000000001,12.0,229.0,217.0,120.33333333333333,107.33333333333333,12.0,0,1,0,0
mp-1275142,LiMn2O3F,GGA+U,relacionada,False,False,False,False,0.031274317767857,False,True,True,FiM,0.5949999999999991,3.870312588648267,0.0887599653618521,2.18283836,315.45753635494367,28,3.0,25.0,22.0,12.285714285714286,7.2653061224489806,8.0,1.0,93.0,65.57142857142857,26.204081632653065,87.0,53.5,1519.0,529.9414285714286,565.1763265306123,54.8,1.0,17.0,11.428571428571429,5.5102040816326525,16.0,2.0,4.0,2.0,0.816326530612245,139.0,82.0,94.42857142857143,35.06122448979592,3.98,3.0,2.6257142857142854,1.0848979591836734,3.44,1.0,1.8571428571428572,2.0,0.0,2.4285714285714284,2.0816326530612246,0.0,5.0,5.0,1.4285714285714286,2.0408163265306123,0.0,0.0,0.0,0.0,1.0,7.0,5.714285714285714,1.3469387755102038,6.0,1.0,0.0,0.0,2.0,1.0,0.8571428571428571,2.0,5.0,1.4285714285714286,0.0,0.0,0.0,1.0,5.0,2.5714285714285716,1.3877551020408165,2.0,9.105,16.5933333333,10.655857963871428,1.6964215341224484,0.0,1.97,0.2814285714285714,0.48244897959183675,0.0,0.000310120689655,8.860591133e-05,12.0,229.0,217.0,102.0,102.0,12.0,0,1,0,1
mp-1280554,Li2MnO2F,GGA+U,relacionada,True,False,True,True,0.006955457916666,False,True,False,AFM,1.402699999999999,3.565177232905693,0.107513731758321,2.34647818,223.22729950393068,24,3.0,25.0,22.0,9.333333333333334,5.222222222222222,3.0,1.0,93.0,53.5,35.5,1.0,53.5,1519.0,431.58,377.21333333333337,54.8,1.0,17.0,9.666666666666666,6.666666666666668,1.0,2.0,4.0,2.0,0.5555555555555557,139.0,82.0,97.33333333333333,34.333333333333336,3.98,3.0,2.395,1.2249999999999999,0.98,1.0,1.6666666666666667,1.0,0.0,2.1666666666666665,2.166666666666667,0.0,5.0,5.0,0.8333333333333334,1.388888888888889,0.0,0.0,0.0,0.0,1.0,7.0,4.666666666666667,2.4444444444444446,1.0,1.0,0.0,0.0,2.0,0.8333333333333334,0.8333333333333334,0.0,5.0,0.8333333333333334,0.0,0.0,0.0,1.0,5.0,2.0,1.0,1.0,9.105,16.5933333333,11.93195881225,3.107583014033333,0.0,1.97,0.3283333333333333,0.5472222222222222,0.0,0.000310120689655,5.1686781609166664e-05,12.0,229.0,217.0,119.0,106.0,12.0,0,1,0,0
mp-758805,Li2VO2F,GGA+U,relacionada,False,False,True,False,0.049782411666669,False,True,False,AFM,0.9866,3.45473548865519,0.107778157964622,3.14624466,222.67962686723556,24,3.0,23.0,20.0,9.0,4.666666666666667,3.0,1.0,93.0,52.5,36.5,1.0,53.5,2183.0,542.2466666666667,546.9177777777778,54.8,1.0,17.0,9.333333333333334,6.999999999999999,1.0,2.0,4.0,2.0,0.5555555555555557,153.0,96.0,99.66666666666667,36.666666666666664,3.98,3.0,2.408333333333333,1.2116666666666667,0.98,1.0,1.6666666666666667,1.0,0.0,2.1666666666666665,2.166666666666667,0.0,3.0,3.0,0.5,0.8333333333333334,0.0,0.0,0.0,0.0,1.0,7.0,4.333333333333333,2.2222222222222228,1.0,1.0,0.0,0.0,2.0,0.8333333333333334,0.8333333333333334,0.0,7.0,1.1666666666666667,0.0,0.0,0.0,1.0,7.0,2.3333333333333335,1.5555555555555556,1.0,9.105,16.5933333333,12.352361111099997,3.0465277777666664,0.0,1.97,0.3283333333333333,0.5472222222222222,0.0,0.0,0.0,12.0,229.0,217.0,121.0,108.0,12.0,0,1,0,0
mp-761250,Li5FeO3F,GGA+U,relacionada,False,True,False,True,0.046587690750002,False,True,False,AFM,2.5771,2.4841677905132142,0.0949560816116575,0.95290645,421.2473737447196,40,3.0,26.0,23.0,7.4,4.4,3.0,1.0,93.0,41.4,40.4,1.0,53.5,1811.0,429.73499999999996,300.208,453.69,1.0,17.0,7.8,6.8,1.0,2.0,4.0,2.0,0.36000000000000015,132.0,75.0,102.7,31.159999999999997,3.98,3.0,2.103,1.1776,0.98,1.0,1.5,1.0,0.0,1.7,2.04,0.0,6.0,6.0,0.6,1.0799999999999998,0.0,0.0,0.0,0.0,1.0,8.0,3.8,2.8,1.0,1.0,1.0,0.0,2.0,0.7,0.8400000000000002,0.0,4.0,0.4,0.0,0.0,0.0,1.0,4.0,1.6,0.72,1.0,9.105,16.5933333333,13.07191666665,3.521416666649999,0.0,1.97,0.197,0.3546,0.0,2.1106628,0.21106628,12.0,229.0,217.0,142.5,103.8,229.0,0,1,0,0
mp-777497,Li2VO2F,GGA+U,relacionada,True,False,True,False,0.047474720833335,False,True,False,AFM,1.093,3.45315599903498,0.107728882272648,3.14035982,111.39074078230507,12,3.0,23.0,20.0,9.0,4.666666666666667,3.0,1.0,93.0,52.5,36.5,1.0,53.5,2183.0,542.2466666666667,546.9177777777778,54.8,1.0,17.0,9.333333333333334,6.999999999999999,1.0,2.0,4.0,2.0,0.5555555555555557,153.0,96.0,99.66666666666667,36.666666666666664,3.98,3.0,2.408333333333333,1.2116666666666667,0.98,1.0,1.6666666666666667,1.0,0.0,2.1666666666666665,2.166666666666667,0.0,3.0,3.0,0.5,0.8333333333333334,0.0,0.0,0.0,0.0,1.0,7.0,4.333333333333333,2.2222222222222228,1.0,1.0,0.0,0.0,2.0,0.8333333333333334,0.8333333333333334,0.0,7.0,1.1666666666666667,0.0,0.0,0.0,1.0,7.0,2.3333333333333335,1.5555555555555556,1.0,9.105,16.5933333333,12.352361111099997,3.0465277777666664,0.0,1.97,0.3283333333333333,0.5472222222222222,0.0,0.0,0.0,12.0,229.0,217.0,121.0,108.0,12.0,0,1,0,0
mp-759179,LiNiOF,GGA+U,perovskita dupla,False,True,False,True,0.04565817875,False,True,False,FM,2.3596,4.548914571450009,0.1088884193840402,3.65509883,110.20455681037132,12,3.0,28.0,25.0,12.0,8.0,3.0,1.0,93.0,60.5,29.75,1.0,53.5,1728.0,572.4975000000001,577.75125,53.5,1.0,17.0,11.0,5.5,1.0,2.0,4.0,2.0,0.75,128.0,71.0,93.75,32.25,3.98,3.0,2.5775,1.1325,0.98,1.0,1.75,1.0,0.0,2.25,2.25,0.0,8.0,8.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,10.0,6.0,2.5,1.0,1.0,0.0,0.0,2.0,0.75,0.75,0.0,2.0,0.5,0.0,0.0,0.0,1.0,2.0,1.5,0.5,1.0,9.105,16.5933333333,11.431458333325,2.5809374999875,0.0,1.97,0.4925,0.73875,0.0,0.5953947,0.148848675,12.0,229.0,217.0,120.25,106.75,12.0,0,1,0,0
mp-1102514,ScSeO3F,GGA,relacionada,False,False,False,False,0.002130646666676,False,True,False,NM,3.6881,3.660588626069962,0.0692817229562112,1.00398911,173.2058541267004,12,8.0,34.0,26.0,14.666666666666666,8.555555555555555,8.0,11.0,93.0,75.66666666666667,21.555555555555554,87.0,53.5,1814.0,420.98333333333335,488.67777777777775,54.8,3.0,17.0,14.0,3.6666666666666665,16.0,2.0,4.0,2.0,0.8888888888888887,170.0,113.0,90.83333333333333,36.11111111111111,3.98,2.62,3.035,0.7199999999999999,3.44,2.0,2.0,2.0,0.0,3.5,1.1666666666666667,0.0,10.0,10.0,1.8333333333333333,2.722222222222222,0.0,0.0,0.0,0.0,3.0,16.0,7.333333333333333,2.888888888888889,6.0,0.0,0.0,0.0,2.0,1.5,0.6666666666666666,2.0,9.0,1.5,0.0,0.0,0.0,1.0,9.0,3.0,2.0,2.0,9.105,25.92,14.19625,6.587499999999999,0.0,1.97,0.4615,0.6153333333333334,0.0,6.35e-06,1.0583333333333333e-06,12.0,194.0,182.0,43.166666666666664,50.27777777777778,12.0,1,0,0,0
mp-1104492,FeSO4F,GGA+U,relacionada,False,True,False,True,0.010336693174605,False,True,True,FM,2.0927,3.26550079622076,0.0805455253749131,0.39087856,173.81474557195534,14,8.0,26.0,18.0,11.857142857142858,5.224489795918367,8.0,55.0,93.0,83.42857142857143,8.122448979591836,87.0,53.5,1811.0,353.15142857142854,426.5877551020408,54.8,8.0,17.0,15.0,2.0,16.0,2.0,4.0,2.0,0.6122448979591836,132.0,75.0,79.71428571428571,22.163265306122444,3.98,2.15,3.1642857142857146,0.5481632653061222,3.44,2.0,2.0,2.0,0.0,3.5714285714285716,1.0204081632653061,0.0,6.0,6.0,0.8571428571428571,1.469387755102041,0.0,0.0,0.0,0.0,6.0,8.0,6.428571428571429,0.6122448979591838,6.0,0.0,0.0,0.0,2.0,1.5714285714285714,0.6122448979591837,2.0,4.0,0.5714285714285714,0.0,0.0,0.0,1.0,4.0,2.142857142857143,0.5306122448979591,2.0,9.105,25.786875,11.806339285714285,3.9944387755102033,0.0,2.202,0.596,0.8514285714285715,0.0,2.1106628,0.30152325714285716,12.0,229.0,217.0,51.714285714285715,55.87755102040817,12.0,0,1,0,1
mp-1305321,Li2MnO2F,GGA+U,relacionada,True,False,True,True,0.006985638333333,False,True,False,AFM,1.7081,3.551196764303385,0.1070921279352934,2.03579604,224.10610810255952,24,3.0,25.0,22.0,9.333333333333334,5.222222222222222,3.0,1.0,93.0,53.5,35.5,1.0,53.5,1519.0,431.58,377.21333333333337,54.8,1.0,17.0,9.666666666666666,6.666666666666668,1.0,2.0,4.0,2.0,0.5555555555555557,139.0,82.0,97.33333333333333,34.333333333333336,3.98,3.0,2.395,1.2249999999999999,0.98,1.0,1.6666666666666667,1.0,0.0,2.1666666666666665,2.166666666666667,0.0,5.0,5.0,0.8333333333333334,1.388888888888889,0.0,0.0,0.0,0.0,1.0,7.0,4.666666666666667,2.4444444444444446,1.0,1.0,0.0,0.0,2.0,0.8333333333333334,0.8333333333333334,0.0,5.0,0.8333333333333334,0.0,0.0,0.0,1.0,5.0,2.0,1.0,1.0,9.105,16.5933333333,11.93195881225,3.107583014033333,0.0,1.97,0.3283333333333333,0.5472222222222222,0.0,0.000310120689655,5.1686781609166664e-05,12.0,229.0,217.0,119.0,106.0,12.0,0,1,0,0
