material_id,formula,band_gap,energy_above_hull,is_gap_direct,regime_calc
mp-10234,Sr2BN2F,2.5675,0.0,True,GGA
mp-17676,Sr2SnS3F2,2.0801,0.0,True,GGA
mp-17805,Ba2SnSe3F2,2.0002,0.0,True,GGA
mp-17918,Ba2SnS3F2,2.4412000000000003,0.0,True,GGA
mp-1111979,Cs2NaRhF6,1.9082,0.0,True,GGA
mp-1113675,Rb2NaIrF6,2.3345,0.0,True,GGA
mp-14036,KRb2RhF6,2.1662,0.0,True,GGA
mp-14038,Rb2NaRhF6,1.957,0.0,True,GGA
mp-14039,K2NaRhF6,2.000099999999999,0.0,True,GGA
mp-560959,KTl2MoF6,2.4401,0.0,True,GGA+U
mp-561561,Cs2KRhF6,2.101299999999999,0.0,True,GGA
mp-989555,Tl2InGaF6,2.3602,0.0,True,GGA
mp-1225833,CsZnFeF6,2.2145,0.0,True,GGA+U
mp-1225934,CsMnVF6,1.8989,0.0,True,GGA+U
mp-1228886,CsVFeF6,1.814,0.0,True,GGA+U
mp-1191842,Na2VNiF7,2.4654,0.0,True,GGA+U
mp-24015,Cd2H3ClO3,2.0958,0.0,True,GGA
mp-558871,SrVClO3,2.189,0.0,True,GGA+U
mp-1112527,Cs2NaTlCl6,1.9178,0.0,True,GGA
mp-1114002,Rb2TlSbCl6,1.955099999999999,0.0,True,GGA
mp-23763,SnH8(NCl3)2,2.3281,0.0,True,GGA
mp-567433,BP(IBr)3,1.9673,0.0,True,GGA
mp-1113046,Cs2KInBr6,2.3584,0.0,True,GGA
mp-996943,Cs2NaInBr6,1.8935,0.0,True,GGA
mp-1091394,Ba2NaIO6,2.2417,0.0,True,GGA
mp-557250,HgINO3,1.9661,0.0,True,GGA
mp-1113068,Cs2ScInI6,1.9467999999999992,0.0,True,GGA
mp-1194197,La3SiN4F,1.9716,0.0,False,GGA
mp-558123,V2Ge(O2F)2,1.876599999999999,0.0,False,GGA+U
mp-1110608,Rb2InAgF6,1.8555,0.0,False,GGA
mp-1110609,Rb2GaAgF6,2.4254,0.0,False,GGA
mp-1112284,K2GaAgF6,2.243,0.0,False,GGA
mp-1112340,Cs2TlRhF6,1.9056,0.0,False,GGA
mp-1113588,Cs2InAgF6,2.1888,0.0,False,GGA
mp-1113861,Rb2TlRhF6,1.9393,0.0,False,GGA
mp-1219598,RbCrCoF6,2.1763,0.0,False,GGA+U
mp-1225824,CsVZnF6,2.296599999999999,0.0,False,GGA+U
mp-1225938,CsMgCoF6,1.9747,0.0,False,GGA+U
mp-1225975,CsCrCoF6,2.2148,0.0,False,GGA+U
mp-1226043,CsFeCoF6,1.828,0.0,False,GGA+U
mp-1228899,CsVNiF6,2.3655,0.0,False,GGA+U
mp-1210449,Na2MgVF7,2.5192,0.0,False,GGA+U
mp-1214829,AlNiAg2F7,1.9697,0.0,False,GGA+U
mp-559481,BaVClO3,2.3925,0.0,False,GGA+U
mp-1202505,Cs2Re(ClO)3,2.3472,0.0,False,GGA
mp-1078258,Cs2AgBiCl6,1.8663,0.0,False,GGA
mp-1110810,Rb2AgBiCl6,2.06,0.0,False,GGA
mp-1110920,K2AgBiCl6,2.0583,0.0,False,GGA
mp-989550,Rb2TlInCl6,2.3962,0.0,False,GGA
mp-1202647,La2SbS5Br,1.8640999999999992,0.0,False,GGA
mp-1110566,Cs2NaAsBr6,2.559,0.0,False,GGA
mp-996944,Cs2TlInBr6,1.8255,0.0,False,GGA
mp-669364,Cs3Re3(SI)4,2.4339,0.0,False,GGA
mp-1112117,Cs2RbScI6,2.3929,0.0,False,GGA
mp-1112141,Cs2NaScI6,2.2294,0.0,False,GGA
mp-1112484,Cs2ScTlI6,2.4146,0.0,False,GGA
mp-1112656,Cs2NaCeI6,2.3813,0.0,False,GGA
mp-1112710,Cs2KScI6,2.3591,0.0,False,GGA
mp-1112938,Cs2ScAgI6,2.0571,0.0,False,GGA
mp-1114119,Rb2NaScI6,2.2079,0.0,False,GGA
