material_id,formula,band_gap,energy_above_hull,is_gap_direct,regime_calc,proba_pv_oof
mp-552992,DyBi2BrO4,1.329,0.0,False,GGA,0.9984123101027671
mp-546625,HoBi2BrO4,1.366499999999999,0.0,False,GGA,0.997073451719886
mp-552857,TbBi2IO4,1.326699999999999,0.0,False,GGA,0.9961770391157544
mp-551101,HoBi2IO4,1.391099999999999,0.0,False,HSE06,0.9952170202710353
mp-549475,TbBi2BrO4,1.2946,0.0,False,GGA,0.9946751068195672
mp-546266,DyBi2IO4,1.3667999999999991,0.0,False,GGA,0.9933339197556427
mp-546350,TmBi2BrO4,1.360199999999999,0.0,False,GGA,0.9933133450054298
mp-550111,SmBi2BrO4,1.278299999999999,0.0,False,HSE06,0.9913115663499759
mp-553242,NdBi2BrO4,1.219899999999999,0.0,False,GGA,0.9894469654565925
mp-551250,ErBi2IO4,1.375,0.0,False,GGA,0.984706243652584
mp-552738,TmBi2IO4,1.425899999999999,0.0,False,HSE06,0.9833443170338616
mp-549709,ErBi2ClO4,1.3769,0.0,False,GGA,0.9812070547071114
mp-552292,SmBi2IO4,1.3061,0.0,False,GGA,0.9776536724433711
mp-551900,PrBi2BrO4,1.2269,0.0,False,GGA,0.9762840872226654
mp-546082,TmBi2ClO4,1.4201,0.0,False,GGA,0.9750608375512845
mp-562809,GdBi2BrO4,1.023199999999999,0.0,False,GGA,0.9735954992939081
mp-628631,GdBi2IO4,1.3080999999999992,0.0,False,GGA,0.9733855051101841
mp-549333,NdBi2IO4,1.265399999999999,0.0,False,GGA,0.971964357801134
mp-545728,PrBi2IO4,1.2196999999999991,0.0,False,HSE06,0.9690123187348421
mp-546621,ErBi2BrO4,1.357,0.0,False,HSE06,0.9673534137072505
mp-545847,LuBi2BrO4,1.3984,0.0,False,GGA,0.964679288564206
mp-549127,HoBi2ClO4,1.370999999999999,0.0,False,GGA,0.9643746357998467
mp-550635,LuBi2IO4,1.4425,0.0,False,GGA,0.9538068510924218
mp-546672,LaBi2IO4,1.2225,0.0,False,GGA,0.9489924814332353
mp-546152,SmBi2ClO4,1.217699999999999,0.0,False,GGA,0.9436400845433176
mp-553243,YBi2BrO4,1.339999999999999,0.0,False,GGA,0.9286782522181936
mp-545529,NdBi2ClO4,1.1973999999999991,0.0,False,GGA,0.9258343528036788
mp-552008,DyBi2ClO4,1.3739,0.0,False,GGA,0.9228730606326254
mp-551816,YBi2IO4,1.3836,0.0,False,HSE06,0.9208047337177785
mp-547125,TbBi2ClO4,1.3439,0.0,False,HSE06,0.9193994570903842
