material_id,formula,band_gap,is_pv_candidate,proba_pv_pred,pred_pv
mp-546621,ErBi2BrO4,1.357,True,0.993,1
mp-550111,SmBi2BrO4,1.278299999999999,True,0.988,1
mp-551101,HoBi2IO4,1.391099999999999,True,0.983,1
mp-552738,TmBi2IO4,1.425899999999999,True,0.981,1
mp-545728,PrBi2IO4,1.2196999999999991,True,0.973,1
mp-547125,TbBi2ClO4,1.3439,True,0.959,1
mp-551816,YBi2IO4,1.3836,True,0.952,1
mp-559521,InBi2S4Cl,1.5805,True,0.802,1
mp-561079,CdBiS2Br,1.729499999999999,True,0.799,1
mp-568252,Rb2Hg2PdCl8,1.8952,False,0.481,0
mp-560861,Cs2KMnF6,1.7435,True,0.444,0
mp-1225937,CsFeNiF6,2.6205,False,0.32,0
mp-23853,CoH4(ClO)2,2.573,False,0.264,0
mp-1112923,Cs2ScAuI6,1.0839,True,0.141,0
mp-504603,Cs2TlFeF6,2.9057,False,0.033,0
