material_id,formula,band_gap,is_gap_direct,is_pv_candidate,is_pv_candidate_amp,is_ibsc_candidate,is_ibsc_candidate_amp,energy_above_hull,formation_energy_per_atom,crystal_system,spacegroup_symbol,spacegroup_number,estrutura_esperada,regime_calc,density,efermi,theoretical,has_experimental_ref,possible_species,familia
mp-1007694,SnPO4F,2.9746,False,False,False,False,True,0.0,-2.532968440306123,Orthorhombic,Pnma,62,perovskita dupla,GGA,4.282540313575255,1.68857796,True,False,"['F-', 'O2-', 'Sn4+', 'P5+']",Perovskita Dupla
mp-10233,Ca2BN2F,2.9265,True,False,False,False,True,0.0,-2.07956978111111,Orthorhombic,Pnma,62,perovskita dupla,GGA,2.687949105707024,2.47755298,False,True,"['Ca2+', 'B3+', 'N3-', 'F-']",Perovskita Dupla
mp-10234,Sr2BN2F,2.5675,True,False,False,True,True,0.0,-2.023247366944444,Orthorhombic,Pnma,62,perovskita dupla,GGA,3.84259567049275,2.0463315,False,True,"['N3-', 'Sr2+', 'F-', 'B3+']",Perovskita Dupla
mp-1193745,CeAsO4F,1.495499999999999,True,True,True,False,True,0.0,-2.843470298214286,Orthorhombic,Pnma,62,perovskita dupla,GGA,4.643819334603983,1.08075612,False,True,"['F-', 'O2-', 'Ce4+', 'As5+']",Perovskita Dupla
mp-1194197,La3SiN4F,1.9716,False,False,True,True,True,0.0,-2.014831175277778,Orthorhombic,Pnma,62,perovskita dupla,GGA,6.523267386014438,8.13757459,False,True,"['N3-', 'Si4+', 'La3+', 'F-']",Perovskita Dupla
mp-17676,Sr2SnS3F2,2.0801,True,False,False,True,True,0.0,-2.467599055312499,Orthorhombic,Pnma,62,perovskita dupla,GGA,4.103488517177864,2.59612953,False,True,"['F-', 'Sr2+', 'S2-', 'Sn4+']",Perovskita Dupla
mp-17805,Ba2SnSe3F2,2.0002,True,False,False,True,True,0.0,-2.426220983066406,Orthorhombic,Pnma,62,perovskita dupla,GGA,5.174669705964397,2.0582636500000002,False,True,"['F-', 'Sn4+', 'Se2-', 'Ba2+']",Perovskita Dupla
mp-17918,Ba2SnS3F2,2.4412000000000003,True,False,False,True,True,0.0,-2.481345934375,Orthorhombic,Pnma,62,perovskita dupla,GGA,4.518513170832694,2.16027833,False,True,"['F-', 'Sn4+', 'S2-', 'Ba2+']",Perovskita Dupla
mp-554429,Mn3Si(O2F)2,2.6069,True,False,False,False,True,0.0,-2.7211882776293113,Orthorhombic,Pnma,62,perovskita dupla,GGA+U,3.89089048667272,2.29080622,False,True,"['F-', 'O2-', 'Mn2+', 'Si4+']",Perovskita Dupla
mp-558123,V2Ge(O2F)2,1.876599999999999,False,False,True,True,True,0.0,-2.632902384722221,Orthorhombic,Pnma,62,perovskita dupla,GGA+U,4.243875438865562,2.5396924,False,True,"['F-', 'O2-', 'V3+', 'Ge4+']",Perovskita Dupla
mp-18832,K2VO2F3,2.9836,True,False,False,False,True,0.0,-2.797603298375,Orthorhombic,Pnma,62,perovskita dupla,GGA,2.883858828483186,-0.86437093,False,True,"['K+', 'V5+', 'O2-', 'F-']",Perovskita Dupla
mp-1079339,K2NaMnF6,1.5314,True,True,True,False,True,0.0,-2.983474632381034,Tetragonal,I4/mmm,139,perovskita dupla,GGA+U,2.972446846605264,-0.75197735,False,True,"['K+', 'Na+', 'F-', 'Mn3+']",Perovskita Dupla
mp-1205717,KRb2MnF6,1.704699999999999,False,True,True,False,True,0.0,-2.972165431018103,Tetragonal,I4/mmm,139,perovskita dupla,GGA+U,3.397790348606249,-1.06311945,True,True,"['K+', 'Rb+', 'F-', 'Mn3+']",Perovskita Dupla
mp-558050,Rb2NaMnF6,1.678599999999999,False,True,True,False,True,0.0,-2.985309472431034,Tetragonal,I4/mmm,139,perovskita dupla,GGA+U,3.748975577831617,-0.8452329900000001,False,True,"['Na+', 'Rb+', 'F-', 'Mn3+']",Perovskita Dupla
mp-560861,Cs2KMnF6,1.7435,False,True,True,False,True,0.0,-2.983461569449137,Tetragonal,I4/mmm,139,perovskita dupla,HSE06,4.013910600488281,-0.40957645000000004,False,True,"['K+', 'Cs+', 'F-', 'Mn3+']",Perovskita Dupla
mp-1110608,Rb2InAgF6,1.8555000000000001,False,False,True,True,True,0.0,-2.621729162333333,Cubic,Fm-3m,225,perovskita dupla,GGA,4.463877681686978,0.11177376,True,False,"['F-', 'Rb+', 'Ag+', 'In3+']",Perovskita Dupla
mp-1110609,Rb2GaAgF6,2.4254000000000002,False,False,False,True,True,0.0,-2.6974395524166663,Cubic,Fm-3m,225,perovskita dupla,GGA,4.525367805867886,-0.53805464,True,False,"['F-', 'Ga3+', 'Rb+', 'Ag+']",Perovskita Dupla
