material_id,formula,band_gap,is_gap_direct,energy_above_hull,formation_energy_per_atom,crystal_system,spacegroup_symbol,spacegroup_number,estrutura_esperada,regime_calc,density,efermi,theoretical,has_experimental_ref,possible_species,familia
mp-10234,Sr2BN2F,2.5675,True,0.0,-2.023247366944444,Orthorhombic,Pnma,62,perovskita dupla,GGA,3.84259567049275,2.0463315,False,True,"['N3-', 'Sr2+', 'F-', 'B3+']",Perovskita Dupla
mp-1194197,La3SiN4F,1.9716,False,0.0,-2.014831175277778,Orthorhombic,Pnma,62,perovskita dupla,GGA,6.523267386014438,8.13757459,False,True,"['N3-', 'Si4+', 'La3+', 'F-']",Perovskita Dupla
mp-17676,Sr2SnS3F2,2.0801,True,0.0,-2.467599055312499,Orthorhombic,Pnma,62,perovskita dupla,GGA,4.103488517177864,2.59612953,False,True,"['F-', 'Sr2+', 'S2-', 'Sn4+']",Perovskita Dupla
mp-17805,Ba2SnSe3F2,2.0002,True,0.0,-2.426220983066406,Orthorhombic,Pnma,62,perovskita dupla,GGA,5.174669705964397,2.05826365,False,True,"['F-', 'Sn4+', 'Se2-', 'Ba2+']",Perovskita Dupla
mp-17918,Ba2SnS3F2,2.4412000000000003,True,0.0,-2.481345934375,Orthorhombic,Pnma,62,perovskita dupla,GGA,4.518513170832694,2.16027833,False,True,"['F-', 'Sn4+', 'S2-', 'Ba2+']",Perovskita Dupla
mp-558123,V2Ge(O2F)2,1.876599999999999,False,0.0,-2.632902384722221,Orthorhombic,Pnma,62,perovskita dupla,GGA+U,4.243875438865562,2.5396924,False,True,"['F-', 'O2-', 'V3+', 'Ge4+']",Perovskita Dupla
mp-1191842,Na2VNiF7,2.4654,True,0.0,-2.91741615661442,Orthorhombic,Imma,74,perovskita dupla,GGA+U,3.314308239773642,0.25934132,False,True,"['Na+', 'V3+', 'F-', 'Ni2+']",Perovskita Dupla
mp-1210449,Na2MgVF7,2.5192,False,0.0,-3.328581348887148,Orthorhombic,Imma,74,perovskita dupla,GGA+U,2.919889571882717,0.11371755,True,True,"['Mg2+', 'Na+', 'V3+', 'F-']",Perovskita Dupla
mp-1214829,AlNiAg2F7,1.9697,False,0.0,-2.4922114857575752,Orthorhombic,Imma,74,perovskita dupla,GGA+U,5.056321498261953,0.73459213,True,True,"['F-', 'Ag+', 'Al3+', 'Ni2+']",Perovskita Dupla
mp-1110608,Rb2InAgF6,1.8555,False,0.0,-2.621729162333333,Cubic,Fm-3m,225,perovskita dupla,GGA,4.463877681686978,0.11177376,True,False,"['F-', 'Rb+', 'Ag+', 'In3+']",Perovskita Dupla
mp-1110609,Rb2GaAgF6,2.4254,False,0.0,-2.6974395524166663,Cubic,Fm-3m,225,perovskita dupla,GGA,4.525367805867886,-0.53805464,True,False,"['F-', 'Ga3+', 'Rb+', 'Ag+']",Perovskita Dupla
mp-1111979,Cs2NaRhF6,1.9082,True,0.0,-2.620182286068965,Cubic,Fm-3m,225,perovskita dupla,GGA,4.774545738899108,0.67669327,True,False,"['Rh3+', 'Na+', 'Cs+', 'F-']",Perovskita Dupla
mp-1112284,K2GaAgF6,2.243,False,0.0,-2.684092103366666,Cubic,Fm-3m,225,perovskita dupla,GGA,3.750487051014523,-0.44684764,True,False,"['K+', 'Ga3+', 'Ag+', 'F-']",Perovskita Dupla
mp-1112340,Cs2TlRhF6,1.9056,False,0.0,-2.422730792264368,Cubic,Fm-3m,225,perovskita dupla,GGA,5.495983358197139,1.22990666,True,False,"['Rh3+', 'F-', 'Cs+', 'Tl+']",Perovskita Dupla
mp-1113588,Cs2InAgF6,2.1888,False,0.0,-2.632801037764368,Cubic,Fm-3m,225,perovskita dupla,GGA,5.056538959944953,0.34243885,True,False,"['F-', 'Ag+', 'Cs+', 'In3+']",Perovskita Dupla
mp-1113675,Rb2NaIrF6,2.3345,True,0.0,-2.5513636096379297,Cubic,Fm-3m,225,perovskita dupla,GGA,5.052558347325151,1.02631873,True,False,"['Na+', 'Rb+', 'Ir3+', 'F-']",Perovskita Dupla
mp-1113861,Rb2TlRhF6,1.9393,False,0.0,-2.402731809833334,Cubic,Fm-3m,225,perovskita dupla,GGA,4.952093330587864,0.62759852,True,False,"['Rh3+', 'F-', 'Rb+', 'Tl+']",Perovskita Dupla
mp-14036,KRb2RhF6,2.1662,True,0.0,-2.625337121225,Cubic,Fm-3m,225,perovskita dupla,GGA,3.781187886268344,-0.02191313,False,True,"['Rh3+', 'K+', 'Rb+', 'F-']",Perovskita Dupla
mp-14038,Rb2NaRhF6,1.957,True,0.0,-2.63831338763793,Cubic,Fm-3m,225,perovskita dupla,GGA,4.194013891584873,0.30250179,False,True,"['Rh3+', 'Na+', 'Rb+', 'F-']",Perovskita Dupla
