material_id,formula,chemsys,elements,nelements,nsites,volume,density,crystal_system,spacegroup_symbol,spacegroup_number,band_gap,is_gap_direct,is_metal,efermi,e_electronic,e_ionic,e_total,n_refractive,weighted_work_function,weighted_surface_energy,energy_per_atom,formation_energy_per_atom,energy_above_hull,is_stable,equilibrium_reaction_energy_per_atom,total_magnetization,total_magnetization_normalized_vol,ordering,num_magnetic_sites,bulk_modulus_vrh,shear_modulus_vrh,universal_anisotropy,homogeneous_poisson,theoretical,deprecated,has_props,possible_species,database_IDs,site_density,is_pv_candidate,is_ibsc_candidate,near_hull,gap_category,has_dielectric_data,has_elastic_data,has_experimental_ref
mp-1046702,MgCrSF5,Cr-F-Mg-S,"['Cr', 'F', 'Mg', 'S']",4,16,260.6249916547498,2.5913408686109802,Triclinic,P1,1,1.2534,False,False,0.21026202,,,,,,,-5.839184889999999,-2.715412755937499,0.23626013218749703,False,,6.0044677,0.023038725725712,FM,2,,,,,True,False,"['materials', 'thermo', 'xas', 'grain_boundaries', 'chemenv', 'electronic_structure', 'absorption', 'bandstructure', 'dos', 'magnetism', 'elasticity', 'dielectric', 'piezoelectric', 'surface_properties', 'oxi_states', 'provenance', 'charge_density', 'eos', 'phonon', 'insertion_electrodes', 'substrates']","['Mg2+', 'Cr2+', 'S+', 'F-']",{},0.06139088925591302,True,False,False,Janela PV (1.0–1.8 eV),False,False,False
mp-1046709,ZnCrSF5,Cr-F-S-Zn,"['Cr', 'F', 'S', 'Zn']",4,16,249.1266288968419,3.258896053940437,Triclinic,P1,1,1.245499999999999,False,False,-0.45388092,,,,,,,-5.374447121249999,-2.297015787812499,0.19852602468749803,False,,5.9996612,0.024082777608187,FM,2,,,,,True,False,"['materials', 'thermo', 'xas', 'grain_boundaries', 'chemenv', 'electronic_structure', 'absorption', 'bandstructure', 'dos', 'magnetism', 'elasticity', 'dielectric', 'piezoelectric', 'surface_properties', 'oxi_states', 'provenance', 'charge_density', 'eos', 'phonon', 'insertion_electrodes', 'substrates']","['F-', 'Zn2+', 'S-', 'Cr4+']",{},0.06422436682441227,True,False,False,Janela PV (1.0–1.8 eV),False,False,False
mp-1046747,MgVSF5,F-Mg-S-V,"['F', 'Mg', 'S', 'V']",4,16,241.4348375704419,2.782803799228229,Triclinic,P1,1,0.289799999999999,False,False,0.87014877,,,,,,,-5.715408945,-2.6627794859375,0.379020326562496,False,,1.9997428,0.008282743369280001,FiM,4,,,,,True,False,"['materials', 'thermo', 'xas', 'grain_boundaries', 'chemenv', 'electronic_structure', 'absorption', 'bandstructure', 'dos', 'magnetism', 'elasticity', 'dielectric', 'piezoelectric', 'surface_properties', 'oxi_states', 'provenance', 'charge_density', 'eos', 'phonon', 'insertion_electrodes', 'substrates']","['Mg2+', 'V4+', 'F-', 'S-']",{},0.06627046933660426,False,False,False,Gap estreito (<1.0 eV),False,False,False
mp-1101433,TiCrSO8,Cr-O-S-Ti,"['Cr', 'O', 'S', 'Ti']",4,33,501.03136909783956,2.584345934747099,Triclinic,P1,1,1.715799999999999,False,False,-1.09348703,,,,,,,-7.721558236969698,-2.151592306136364,0.034273452280301,False,,0.0044623,8.906228781712505e-06,NM,0,,,,,True,False,"['materials', 'thermo', 'xas', 'grain_boundaries', 'chemenv', 'electronic_structure', 'absorption', 'bandstructure', 'dos', 'magnetism', 'elasticity', 'dielectric', 'piezoelectric', 'surface_properties', 'oxi_states', 'provenance', 'charge_density', 'eos', 'phonon', 'insertion_electrodes', 'substrates']","['Cr6+', 'O2-', 'S6+', 'Ti4+']",{},0.06586413952367896,True,False,True,Janela PV (1.0–1.8 eV),False,False,False
mp-1180145,NiH12SO9,H-Ni-O-S,"['H', 'Ni', 'O', 'S']",4,23,437.3099674963405,0.9373241932027201,Triclinic,P1,1,0.37959999999999905,False,False,-2.59531199,,,,,,,-4.758425827391305,-0.619678840326087,0.7397904778713741,False,,3.9988623,0.009144228572913,FM,4,,,,,True,False,"['materials', 'thermo', 'xas', 'grain_boundaries', 'chemenv', 'electronic_structure', 'absorption', 'bandstructure', 'dos', 'magnetism', 'elasticity', 'dielectric', 'piezoelectric', 'surface_properties', 'oxi_states', 'provenance', 'charge_density', 'eos', 'phonon', 'insertion_electrodes', 'substrates']","['O2-', 'S2+', 'Ni2+', 'H+', 'O-']",{},0.05259427342047142,False,False,False,Gap estreito (<1.0 eV),False,False,False
mp-1210679,Ni3H6SO3,H-Ni-O-S,"['H', 'Ni', 'O', 'S']",4,13,408.30445474995406,1.066308387693465,Triclinic,P1,1,2.2922000000000002,False,False,-1.594301199999999,,,,,,,-4.556582796923076,-0.19560668923076802,0.800443624038462,False,,5.999629899999999,0.014694010389071002,FM,5,,,,,True,False,"['materials', 'thermo', 'xas', 'grain_boundaries', 'chemenv', 'electronic_structure', 'absorption', 'bandstructure', 'dos', 'magnetism', 'elasticity', 'dielectric', 'piezoelectric', 'surface_properties', 'oxi_states', 'provenance', 'charge_density', 'eos', 'phonon', 'insertion_electrodes', 'substrates']","['H0.67+', 'O2-', 'Ni1.33+', 'S2-']",{},0.031838986444468774,False,True,False,Janela IBSC (1.8–2.6 eV),False,False,False
mp-1224760,Fe2AsSO9,As-Fe-O-S,"['As', 'Fe', 'O', 'S']",4,13,194.59521545638947,3.094781618953355,Triclinic,P1,1,0.052699999999999005,False,False,-0.58263349,,,,,,,-6.948836756923076,-1.542743548461537,0.14887789878204902,False,,9.0001069,0.046250401783475004,FM,2,,,,,True,False,"['materials', 'thermo', 'xas', 'grain_boundaries', 'chemenv', 'electronic_structure', 'absorption', 'bandstructure', 'dos', 'magnetism', 'elasticity', 'dielectric', 'piezoelectric', 'surface_properties', 'oxi_states', 'provenance', 'charge_density', 'eos', 'phonon', 'insertion_electrodes', 'substrates']","['Fe3+', 'O2-', 'S6+', 'As5+', 'Fe4+']",{},0.06680534241045313,False,False,False,Gap estreito (<1.0 eV),False,False,False
mp-1237012,Ni3H6SO3,H-Ni-O-S,"['H', 'Ni', 'O', 'S']",4,13,208.0109205358091,2.093055805488504,Triclinic,P1,1,0.9577,False,False,0.25119171,,,,,,,-4.609306561538461,-0.24833045384615302,0.7477198594230771,False,,3.999975,0.019229639432855,FM,3,,,,,True,False,"['materials', 'thermo', 'xas', 'grain_boundaries', 'chemenv', 'electronic_structure', 'absorption', 'bandstructure', 'dos', 'magnetism', 'elasticity', 'dielectric', 'piezoelectric', 'surface_properties', 'oxi_states', 'provenance', 'charge_density', 'eos', 'phonon', 'insertion_electrodes', 'substrates']","['O2-', 'S2+', 'Ni4+', 'H-', 'Ni3+']",{},0.062496718761273155,False,False,False,Gap estreito (<1.0 eV),False,False,False
mp-1323771,MgCrSF5,Cr-F-Mg-S,"['Cr', 'F', 'Mg', 'S']",4,16,260.62493604810203,2.5913414214965993,Triclinic,P1,1,0.051199999999999,False,False,0.83071189,,,,,,,-2.983652905,0.14011922906249902,3.091792117187497,False,,2.0012642,0.0076787134429470005,FM,2,,,,,True,False,"['materials', 'thermo', 'xas', 'grain_boundaries', 'chemenv', 'electronic_structure', 'absorption', 'bandstructure', 'dos', 'magnetism', 'elasticity', 'dielectric', 'piezoelectric', 'surface_properties', 'oxi_states', 'provenance', 'charge_density', 'eos', 'phonon', 'insertion_electrodes', 'substrates']","['Mg2+', 'F-', 'S-', 'Cr4+']",{},0.061390902354205176,False,False,False,Gap estreito (<1.0 eV),False,False,False
mp-1181649,CuPbSO6,Cu-O-Pb-S,"['Cu', 'O', 'Pb', 'S']",4,18,271.2849380710348,4.882211835702941,Monoclinic,P2_1/m,11,0.0,False,True,2.91538207,,,,,,,-5.808601095555556,-1.182265819722222,0.32812444145833003,False,,0.0140103,5.1644223596119676e-05,NM,0,,,,,False,False,"['materials', 'thermo', 'xas', 'grain_boundaries', 'chemenv', 'electronic_structure', 'absorption', 'bandstructure', 'dos', 'magnetism', 'elasticity', 'dielectric', 'piezoelectric', 'surface_properties', 'oxi_states', 'provenance', 'charge_density', 'eos', 'phonon', 'insertion_electrodes', 'substrates']","['O2-', 'Cu2+', 'S6+', 'Pb2+', 'O-']","{'icsd': ['icsd-38211'], 'pf': ['pf-15870']}",0.06635090074660459,False,False,False,Metal,False,False,True
