material_id,formula,chemsys,elements,nelements,nsites,volume,density,crystal_system,spacegroup_symbol,spacegroup_number,band_gap,is_gap_direct,is_metal,efermi,e_electronic,e_ionic,e_total,n_refractive,weighted_work_function,weighted_surface_energy,energy_per_atom,formation_energy_per_atom,energy_above_hull,is_stable,equilibrium_reaction_energy_per_atom,total_magnetization,total_magnetization_normalized_vol,ordering,num_magnetic_sites,bulk_modulus_vrh,shear_modulus_vrh,universal_anisotropy,homogeneous_poisson,theoretical,deprecated,has_props,possible_species,database_IDs,site_density,is_pv_candidate,is_ibsc_candidate,near_hull,gap_category,has_dielectric_data,has_elastic_data,has_experimental_ref
mp-1176847,Li8CoO5F,Co-F-Li-O,"['Co', 'F', 'Li', 'O']",4,30,294.890256055326,2.403965631662907,Triclinic,P1,1,1.7086000000000001,True,False,1.9909796,,,,,,,-5.365533839999999,-2.094970036444444,0.029465703333334002,False,,7.9997792,0.027127987567344,FM,6,,,,,True,False,"['materials', 'thermo', 'xas', 'grain_boundaries', 'chemenv', 'electronic_structure', 'absorption', 'bandstructure', 'dos', 'magnetism', 'elasticity', 'dielectric', 'piezoelectric', 'surface_properties', 'oxi_states', 'provenance', 'charge_density', 'eos', 'phonon', 'insertion_electrodes', 'substrates']","['F-', 'O2-', 'Co3+', 'Li+']",{},0.10173276120175206,True,False,True,Janela PV (1.0–1.8 eV),False,False,False
mp-1177759,Li2VO2F,F-Li-O-V,"['F', 'Li', 'O', 'V']",4,24,221.1039569161638,3.479355233024755,Triclinic,P1,1,0.0883,False,False,4.18152273,,,,,,,-6.766386635,-2.647798936944444,0.069641055833336,False,,1.5e-06,6.784139103257914e-09,AFM,4,,,,,True,False,"['materials', 'thermo', 'xas', 'grain_boundaries', 'chemenv', 'electronic_structure', 'absorption', 'bandstructure', 'dos', 'magnetism', 'elasticity', 'dielectric', 'piezoelectric', 'surface_properties', 'oxi_states', 'provenance', 'charge_density', 'eos', 'phonon', 'insertion_electrodes', 'substrates']","['F-', 'O2-', 'V3+', 'Li+']",{},0.10854622565212663,False,False,False,Gap estreito (<1.0 eV),False,False,False
mp-1223546,KCrO3F,Cr-F-K-O,"['Cr', 'F', 'K', 'O']",4,12,212.00728916409358,2.476483595697486,Triclinic,P1,1,2.687599999999999,False,False,-1.9587554900000002,,,,,,,-6.676732698333333,-2.086373934541666,0.014273047656248001,False,,4e-07,1.886727581759701e-09,NM,0,,,,,True,False,"['materials', 'thermo', 'xas', 'grain_boundaries', 'chemenv', 'electronic_structure', 'absorption', 'bandstructure', 'dos', 'magnetism', 'elasticity', 'dielectric', 'piezoelectric', 'surface_properties', 'oxi_states', 'provenance', 'charge_density', 'eos', 'phonon', 'insertion_electrodes', 'substrates']","['Cr6+', 'K+', 'O2-', 'F-']",{},0.05660182745279104,False,False,True,Gap largo (>2.6 eV),False,False,False
mp-1233358,CaV6O11F,Ca-F-O-V,"['Ca', 'F', 'O', 'V']",4,19,230.34241567874088,3.898043241897222,Triclinic,P1,1,0.45379999999999904,False,False,3.4462802200000002,,,,,,,-8.45207624368421,-2.512578363157894,0.20810470227340003,False,,9.0033169,0.039086665273828,FM,6,,,,,True,False,"['materials', 'thermo', 'xas', 'grain_boundaries', 'chemenv', 'electronic_structure', 'absorption', 'bandstructure', 'dos', 'magnetism', 'elasticity', 'dielectric', 'piezoelectric', 'surface_properties', 'oxi_states', 'provenance', 'charge_density', 'eos', 'phonon', 'insertion_electrodes', 'substrates']","['F-', 'O2-', 'V4+', 'V3+', 'Ca2+']",{},0.08248589363801474,False,False,False,Gap estreito (<1.0 eV),False,False,False
mp-1233721,MgV6O11F,F-Mg-O-V,"['F', 'Mg', 'O', 'V']",4,19,206.6064201175436,4.21909935598994,Triclinic,P1,1,0.8228000000000001,False,False,3.442184789999999,,,,,,,-8.385860241052631,-2.466106037631579,0.19581953983552203,False,,9.0025454,0.043573405874213,FM,6,,,,,True,False,"['materials', 'thermo', 'xas', 'grain_boundaries', 'chemenv', 'electronic_structure', 'absorption', 'bandstructure', 'dos', 'magnetism', 'elasticity', 'dielectric', 'piezoelectric', 'surface_properties', 'oxi_states', 'provenance', 'charge_density', 'eos', 'phonon', 'insertion_electrodes', 'substrates']","['Mg2+', 'O2-', 'V4+', 'V3+', 'F-']",{},0.09196229231013452,False,False,False,Gap estreito (<1.0 eV),False,False,False
mp-1233816,CaV6O11F,Ca-F-O-V,"['Ca', 'F', 'O', 'V']",4,19,231.0818483245457,3.885569997249423,Triclinic,P1,1,1.017599999999999,False,False,2.96002972,,,,,,,-8.458536376842105,-2.519038496315789,0.20164456911550602,False,,9.0082766,0.038983055853648,FM,6,,,,,True,False,"['materials', 'thermo', 'xas', 'grain_boundaries', 'chemenv', 'electronic_structure', 'absorption', 'bandstructure', 'dos', 'magnetism', 'elasticity', 'dielectric', 'piezoelectric', 'surface_properties', 'oxi_states', 'provenance', 'charge_density', 'eos', 'phonon', 'insertion_electrodes', 'substrates']","['F-', 'O2-', 'V4+', 'V3+', 'Ca2+']",{},0.08222194922603883,True,False,False,Janela PV (1.0–1.8 eV),False,False,False
mp-1234235,CaV6O11F,Ca-F-O-V,"['Ca', 'F', 'O', 'V']",4,19,230.306155445593,3.898656963907815,Triclinic,P1,1,1.196699999999999,False,False,2.80946613,,,,,,,-8.455203410000001,-2.515705529473683,0.20497753595761,False,,8.9979855,0.039069670033746,FM,6,,,,,True,False,"['materials', 'thermo', 'xas', 'grain_boundaries', 'chemenv', 'electronic_structure', 'absorption', 'bandstructure', 'dos', 'magnetism', 'elasticity', 'dielectric', 'piezoelectric', 'surface_properties', 'oxi_states', 'provenance', 'charge_density', 'eos', 'phonon', 'insertion_electrodes', 'substrates']","['F-', 'O2-', 'V4+', 'V3+', 'Ca2+']",{},0.08249888051510858,True,False,False,Janela PV (1.0–1.8 eV),False,False,False
mp-1234598,CaV6O11F,Ca-F-O-V,"['Ca', 'F', 'O', 'V']",4,19,251.63558886014,3.568194391047939,Triclinic,P1,1,0.7215,False,False,2.53688814,,,,,,,-8.40822045,-2.468722569473683,0.251960495957611,False,,9.009969,0.035805622888294,FM,6,,,,,True,False,"['materials', 'thermo', 'xas', 'grain_boundaries', 'chemenv', 'electronic_structure', 'absorption', 'bandstructure', 'dos', 'magnetism', 'elasticity', 'dielectric', 'piezoelectric', 'surface_properties', 'oxi_states', 'provenance', 'charge_density', 'eos', 'phonon', 'insertion_electrodes', 'substrates']","['F-', 'O2-', 'V4+', 'V3+', 'Ca2+']",{},0.07550601282619157,False,False,False,Gap estreito (<1.0 eV),False,False,False
mp-1235307,LiV6O11F,F-Li-O-V,"['F', 'Li', 'O', 'V']",4,19,198.5727916077587,4.244586616749464,Triclinic,P1,1,0.634099999999999,False,False,3.53672193,,,,,,,-8.4026743,-2.468264683333332,0.12499175743420701,False,,7.9974788,0.040274796638793006,FM,6,,,,,True,False,"['materials', 'thermo', 'xas', 'grain_boundaries', 'chemenv', 'electronic_structure', 'absorption', 'bandstructure', 'dos', 'magnetism', 'elasticity', 'dielectric', 'piezoelectric', 'surface_properties', 'oxi_states', 'provenance', 'charge_density', 'eos', 'phonon', 'insertion_electrodes', 'substrates']","['F-', 'O2-', 'V4+', 'V3+', 'Li+']",{},0.0956827964504359,False,False,False,Gap estreito (<1.0 eV),False,False,False
mp-1235579,LiV6O11F,F-Li-O-V,"['F', 'Li', 'O', 'V']",4,19,198.83277482045,4.239036619943527,Triclinic,P1,1,0.8069000000000001,False,False,3.30847545,,,,,,,-8.402187670526317,-2.467778053859648,0.125478386907889,False,,8.0000289,0.040234960796700005,FM,6,,,,,True,False,"['materials', 'thermo', 'xas', 'grain_boundaries', 'chemenv', 'electronic_structure', 'absorption', 'bandstructure', 'dos', 'magnetism', 'elasticity', 'dielectric', 'piezoelectric', 'surface_properties', 'oxi_states', 'provenance', 'charge_density', 'eos', 'phonon', 'insertion_electrodes', 'substrates']","['F-', 'O2-', 'V4+', 'V3+', 'Li+']",{},0.09555768669002071,False,False,False,Gap estreito (<1.0 eV),False,False,False
